event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_simultaneous_passing_options,passing_option_at_pass_moment,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,1912300,46,46,00:03.6,00:03.6,0,3,0.0,1,1,left_to_right,8,player_possession,,,51002,J. O'Shea,14,RM,,,,,1802,Brisbane FC,-0.01,0.18,3,center,2,middle_third,False,-0.01,0.18,3,center,2,middle_third,False,,,,,,3,drawing,0,0,0,1,True,False,True,True,1,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.0,6.95,1,forward,,,,,,9.06,9.06,0.0,21.71,21.71,21.72,21.72,0.0,30.79,30.79,0.0,False,False,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,51050,B. Warland,4,LCB,-18.42,0.94,3,center,1,defensive_third,False,-12.14,1.0,3,center,2,middle_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,20.92,2,medium,175.28,2,backward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,,True,True
1_0,1,1912300,50,74,00:04.0,00:06.4,0,4,2.4,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,50966,B. Halloran,17,RW,51050,B. Warland,4,LCB,1802,Brisbane FC,1.22,-28.27,5,wide_right,2,middle_third,False,14.23,-27.15,5,wide_right,2,middle_third,False,8_1,64,,,,3,drawing,0,0,1,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,13.06,4.92,1,forward,False,False,19.56,2,running,10.32,4.44,-5.88,22.13,27.97,20.91,13.74,-7.17,30.37,24.53,-5.84,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ahead,3,ahead,34.74,35.58,-17.48,1.01,3,center,2,middle_third,False,-9.03,-0.23,3,center,2,middle_third,False,False,False,,False,True,0.004,0.5303,0.9403,True,,True,2,False,,,,True,,,5,8,3,True,True,,,
1_1,2,1912300,50,74,00:04.0,00:06.4,0,4,2.4,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,795537,T. Waddingham,19,CF,51050,B. Warland,4,LCB,1802,Brisbane FC,4.12,-20.29,5,wide_right,2,middle_third,False,18.18,-18.07,4,half_space_right,3,attacking_third,False,8_1,64,,,,3,drawing,0,0,1,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,14.24,8.97,1,forward,False,False,21.25,3,hsr,6.59,5.67,-0.92,22.13,27.97,18.01,9.79,-8.22,30.37,24.53,-5.84,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ahead,3,ahead,30.34,32.54,-17.48,1.01,3,center,2,middle_third,False,-9.03,-0.23,3,center,2,middle_third,False,True,False,,False,True,0.0128,0.4715,0.9232,True,,True,2,False,,,,True,,,4,8,4,True,True,,,
1_2,3,1912300,58,74,00:04.8,00:06.4,0,4,1.6,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,51043,H. Van Der Saag,8,RB,51050,B. Warland,4,LCB,1802,Brisbane FC,3.0,-32.68,5,wide_right,2,middle_third,False,10.37,-32.19,5,wide_right,2,middle_third,False,8_1,64,,,,3,drawing,0,0,1,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,7.39,3.8,1,forward,False,False,16.62,2,running,13.15,10.79,-2.35,23.33,27.97,20.33,17.6,-2.73,29.17,24.53,-4.64,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ahead,3,ahead,38.05,37.39,-14.48,1.12,3,center,2,middle_third,False,-9.03,-0.23,3,center,2,middle_third,False,False,False,,False,False,0.0015,0.6891,0.9246,True,,True,2,False,,,,True,,,8,8,0,True,True,,,
8_1,4,1912300,64,64,00:05.4,00:05.4,0,5,0.0,1,1,left_to_right,8,player_possession,,,51050,B. Warland,4,LCB,,,,,1802,Brisbane FC,-12.14,1.0,3,center,2,middle_third,False,-12.14,1.0,3,center,2,middle_third,False,,,,,,3,drawing,0,0,1,1,False,True,True,True,1,True,6,direct,15,defending_direct,5,chaotic,5,chaotic,1,create,9,medium_block,,,,,False,False,0.0,-3.81,1,forward,,,14.04,1,jogging,11.11,11.11,0.0,24.6,24.6,36.74,36.74,0.0,27.9,27.9,0.0,False,False,1,pass_reception,1,pass,True,False,False,False,False,False,False,175.28,2,backward,20.92,2,medium,2,unsuccessful,7_2,,795537,T. Waddingham,19,CF,12.18,-18.95,4,half_space_right,2,middle_third,False,,,,,,,,0.4715,True,0.0128,False,3,3,3,2,1,0,3,0,0,1,2,,,,,8,8,True,442,3,True,,,True,,,False,,,2,second_last,1,through,31.46,3,long,-39.36,1,forward,,,,,,,True,10,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,True,True,False
7_0,5,1912300,64,64,00:05.4,00:05.4,0,5,0.0,1,1,left_to_right,7,passing_option,,,50966,B. Halloran,17,RW,51050,B. Warland,4,LCB,1802,Brisbane FC,8.23,-27.64,5,wide_right,2,middle_third,False,8.23,-27.64,5,wide_right,2,middle_third,False,8_1,64,1_0,8,run_ahead_of_the_ball,3,drawing,0,0,1,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,0.0,5.12,1,forward,False,False,19.34,2,running,7.22,7.22,0.0,24.6,24.6,16.37,16.37,0.0,27.9,27.9,0.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,442,3,True,1,through,False,,,False,,,1,first,1,through,35.15,3,long,-54.58,4,sideway_right,,,,,,,True,10,8,2,3,ahead,3,ahead,35.15,35.15,-12.14,1.0,3,center,2,middle_third,False,-12.14,1.0,3,center,2,middle_third,False,False,False,,False,True,0.004,0.5303,0.9403,True,64,True,,,,,,,2,True,,,,True,True,,,False
7_1,6,1912300,64,64,00:05.4,00:05.4,0,5,0.0,1,1,left_to_right,7,passing_option,,,51043,H. Van Der Saag,8,RB,51050,B. Warland,4,LCB,1802,Brisbane FC,5.62,-32.53,5,wide_right,2,middle_third,False,5.62,-32.53,5,wide_right,2,middle_third,False,8_1,64,1_2,8,run_ahead_of_the_ball,3,drawing,0,0,1,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,0.0,2.35,1,forward,False,False,15.81,2,running,12.66,12.66,0.0,24.6,24.6,18.98,18.98,0.0,27.9,27.9,0.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,442,3,True,2,around,False,,,False,,,1,first,2,around,37.94,3,long,-62.09,4,sideway_right,,,,,,,True,10,8,2,3,ahead,3,ahead,37.94,37.94,-12.14,1.0,3,center,2,middle_third,False,-12.14,1.0,3,center,2,middle_third,False,False,False,,False,False,0.0015,0.6891,0.9246,True,64,True,,,,,,,2,True,,,,True,True,,,False
7_2,7,1912300,64,64,00:05.4,00:05.4,0,5,0.0,1,1,left_to_right,7,passing_option,,,795537,T. Waddingham,19,CF,51050,B. Warland,4,LCB,1802,Brisbane FC,12.18,-18.95,4,half_space_right,2,middle_third,False,12.18,-18.95,4,half_space_right,2,middle_third,False,8_1,64,1_1,8,run_ahead_of_the_ball,3,drawing,0,0,1,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,0.0,9.52,1,forward,False,False,22.6,3,hsr,3.52,3.52,0.0,24.6,24.6,12.42,12.42,0.0,27.9,27.9,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,442,3,True,1,through,True,1,through,False,,,2,second_last,1,through,31.46,3,long,-39.36,1,forward,,,,,,,True,10,5,5,3,ahead,3,ahead,31.46,31.46,-12.14,1.0,3,center,2,middle_third,False,-12.14,1.0,3,center,2,middle_third,False,True,False,,False,True,0.0128,0.4715,0.9232,True,64,True,,,,,,,2,True,,,,True,True,,,False
8_2,8,1912300,102,102,00:09.2,00:09.2,0,9,0.0,1,2,right_to_left,8,player_possession,,,51664,J. Clisby,2,LB,,,,,2902,Western Sydney,-41.6,25.37,1,wide_left,1,defensive_third,False,-41.6,25.37,1,wide_left,1,defensive_third,False,,,,,,3,drawing,0,0,2,1,True,False,False,True,2,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,15,defending_direct,6,direct,,,,,False,False,0.0,-174.6,2,backward,,,13.02,1,jogging,6.46,6.46,0.0,0.75,0.75,42.35,42.35,0.0,51.75,51.75,0.0,False,False,2,pass_interception,1,pass,True,False,False,False,True,False,False,,,,,,,1,successful,,,795524,D. Scicluna,12,LM,-27.67,18.93,2,half_space_left,1,defensive_third,False,-28.97,20.3,1,wide_left,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,16.19,2,medium,-22.25,1,forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,True,True,False
8_3,9,1912300,114,114,00:10.4,00:10.4,0,10,0.0,1,2,right_to_left,8,player_possession,,,795524,D. Scicluna,12,LM,,,,,2902,Western Sydney,-28.97,20.3,1,wide_left,1,defensive_third,False,-28.97,20.3,1,wide_left,1,defensive_third,False,,,,,,3,drawing,0,0,2,2,False,True,True,False,2,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,15,defending_direct,6,direct,,,,,False,False,0.0,45.0,1,forward,,,4.46,1,jogging,4.76,4.76,0.0,-1.99,-1.99,26.98,26.98,0.0,54.49,54.49,0.0,True,True,1,pass_reception,1,pass,True,False,False,False,True,False,False,-22.25,1,forward,16.19,2,medium,2,unsuccessful,7_3,,19052,B. Borrello,19,CF,-1.76,9.31,2,half_space_left,2,middle_third,False,,,,,,,,0.5461,True,0.003,False,2,0,0,0,0,0,2,0,0,0,2,,,,,3,3,False,,,,,,,,,,,,,,,,29.35,2,medium,-21.99,1,forward,,,,,,,True,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,True,True,True,True,False
