event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched
1_0,0,1960436,52,66,00:04.2,00:05.6,0,4,1.4,1,2,right_to_left,1,off_ball_run,2,coming_short,29856,A. McCalmont,14,RM,10549,T. Sainsbury,6,RCB,870,CC Mariners,-5.76,5.08,3,center,2,middle_third,False,-8.88,-0.38,3,center,2,middle_third,False,8_1,53,3,drawing,0,0,0,1,create,9,medium_block,False,False,6.36,-119.74,4,sideway_right,False,False,16.27,2,running,2.15,2.17,0.02,17.98,19.37,23.74,28.25,4.51,34.52,33.13,-1.39,False,False,3,ahead,3,ahead,13.41,6.88,-14.89,-4.74,3,center,2,middle_third,False,-12.47,-6.25,3,center,2,middle_third,False,False,False,,False,False,0.0005,0.9901,0.8984,True,True,0,False,,,,True,10,10,0,True,True,
1_1,1,1960436,67,96,00:05.7,00:08.6,0,5,2.9,1,2,right_to_left,1,off_ball_run,2,coming_short,29856,A. McCalmont,14,RM,23930,S. Roux,8,RB,870,CC Mariners,-8.92,-0.81,3,center,2,middle_third,False,-4.46,-14.24,4,half_space_right,2,middle_third,False,8_2,81,3,drawing,0,0,0,1,create,9,medium_block,False,False,13.92,-71.63,4,sideway_right,True,False,17.7,2,running,2.18,3.99,1.82,19.51,19.57,28.43,24.03,-4.4,32.99,32.93,-0.06,False,True,1,behind,2,same_line,24.12,10.71,-5.5,-24.69,5,wide_right,2,middle_third,False,-5.33,-24.91,5,wide_right,2,middle_third,False,False,False,,False,False,0.0008,0.9324,0.9322,True,True,0,False,,,,True,9,10,1,True,True,
1_2,2,1960436,153,163,00:14.3,00:15.3,0,14,1.0,1,2,right_to_left,1,off_ball_run,2,coming_short,795509,C. Theoharous,16,LW,795510,B. Kaltak,4,LCB,870,CC Mariners,5.69,23.16,1,wide_left,2,middle_third,False,1.42,21.19,1,wide_left,2,middle_third,False,8_5,147,3,drawing,0,0,0,1,create,9,medium_block,False,False,4.71,-155.23,2,backward,False,False,16.73,2,running,9.27,4.79,-4.49,7.55,8.06,1.86,6.64,4.78,44.95,44.44,-0.51,False,False,3,ahead,3,ahead,34.38,29.01,-22.57,3.58,3,center,1,defensive_third,False,-23.01,5.54,3,center,1,defensive_third,False,False,False,,False,False,0.0035,0.7381,0.9031,True,True,0,False,,,,True,4,2,-2,True,True,
1_3,3,1960436,184,197,00:17.4,00:18.7,0,17,1.3,1,2,right_to_left,1,off_ball_run,9,support,795508,H. Steele,12,LM,795509,C. Theoharous,16,LW,870,CC Mariners,-12.24,15.06,2,half_space_left,2,middle_third,False,-7.28,19.06,2,half_space_left,2,middle_third,False,8_7,192,3,drawing,0,0,0,1,create,9,medium_block,False,False,6.07,38.88,1,forward,False,False,17.87,2,running,3.81,2.21,-1.6,11.68,13.59,23.92,20.87,-3.05,40.82,38.91,-1.91,True,True,1,behind,1,behind,14.24,7.61,-0.61,23.27,1,wide_left,2,middle_third,False,-2.66,25.11,1,wide_left,2,middle_third,False,False,False,,False,False,0.0039,0.681,0.767,True,True,1,False,,,,True,8,8,0,True,True,
1_4,4,1960436,188,199,00:17.8,00:18.9,0,17,1.1,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,34423,Mikael Doka,2,LB,795509,C. Theoharous,16,LW,870,CC Mariners,-5.28,31.95,1,wide_left,2,middle_third,False,-0.15,32.78,1,wide_left,2,middle_third,False,8_7,192,3,drawing,0,0,0,1,create,9,medium_block,False,False,4.78,9.19,1,forward,False,False,16.81,2,running,2.84,5.96,3.12,12.64,13.58,17.92,13.73,-4.19,39.86,38.92,-0.94,False,False,1,behind,3,ahead,8.87,8.42,-0.85,24.26,1,wide_left,2,middle_third,False,-3.39,25.01,1,wide_left,2,middle_third,False,False,False,,False,False,0.002,0.7794,0.9603,True,True,1,True,,,,True,5,6,1,True,True,
1_5,5,1960436,234,259,00:22.4,00:24.9,0,22,2.5,1,2,right_to_left,1,off_ball_run,6,pulling_half_space,923865,A. De Lima,19,CF,10549,T. Sainsbury,6,RCB,870,CC Mariners,5.63,-2.32,3,center,2,middle_third,False,1.21,-12.56,4,half_space_right,2,middle_third,False,8_9,248,3,drawing,0,0,1,0,build_up,10,high_block,False,False,10.74,-113.35,4,sideway_right,True,False,16.05,2,running,2.64,3.67,1.03,9.3,6.45,3.67,5.24,1.57,43.2,46.05,2.85,True,True,3,ahead,3,ahead,33.51,29.59,-27.88,-1.82,3,center,1,defensive_third,False,-28.28,-10.1,4,half_space_right,1,defensive_third,False,True,True,True,False,False,0.0005,0.7249,0.7321,True,False,0,False,,,,False,4,3,-1,True,True,True
1_6,6,1960436,282,294,00:27.2,00:28.4,0,27,1.2,1,2,right_to_left,1,off_ball_run,9,support,29856,A. McCalmont,14,RM,923865,A. De Lima,19,CF,870,CC Mariners,-17.08,-12.99,4,half_space_right,2,middle_third,False,-14.46,-17.43,4,half_space_right,2,middle_third,False,8_10,279,3,drawing,0,0,2,1,create,9,medium_block,False,False,5.17,-59.46,4,sideway_right,False,False,15.46,2,running,6.32,5.83,-0.49,7.6,8.61,24.68,23.07,-1.61,44.9,43.89,-1.01,True,True,1,behind,1,behind,15.1,10.94,-3.82,-20.21,5,wide_right,2,middle_third,False,-7.11,-25.53,5,wide_right,2,middle_third,False,False,False,,False,False,0.001,0.9091,0.8387,True,True,0,False,,,,True,8,7,-1,True,True,
1_7,7,1960436,456,489,00:44.6,00:47.9,0,44,3.3,1,1,left_to_right,1,off_ball_run,4,dropping_off,51644,R. Grant,6,RCB,931987,H. Devenish-Meares,1,GK,869,Sydney FC,-26.24,6.4,3,center,1,defensive_third,False,-37.46,-5.92,3,center,1,defensive_third,False,8_12,471,3,drawing,0,0,4,0,build_up,10,high_block,False,False,16.3,-132.32,4,sideway_right,False,False,18.11,2,running,12.34,10.72,-1.62,12.11,4.39,38.35,41.85,3.5,40.39,48.11,7.72,False,False,3,ahead,3,ahead,16.47,18.05,-40.98,13.75,2,half_space_left,1,defensive_third,False,-45.82,10.08,2,half_space_left,1,defensive_third,False,False,False,,False,False,0.0003,0.989,0.7158,True,True,1,False,,,,True,9,10,1,True,True,
1_8,8,1960436,456,490,00:44.6,00:48.0,0,44,3.4,1,1,left_to_right,1,off_ball_run,2,coming_short,133852,C. Hollman,11,RDM,931987,H. Devenish-Meares,1,GK,869,Sydney FC,-11.99,15.72,2,half_space_left,2,middle_third,False,-31.37,11.38,2,half_space_left,1,defensive_third,False,8_12,471,3,drawing,0,0,4,0,build_up,10,high_block,False,False,19.9,-167.38,2,backward,False,False,20.96,3,hsr,4.95,4.28,-0.68,12.11,4.19,24.1,35.56,11.46,40.39,48.31,7.92,True,True,3,ahead,3,ahead,29.06,14.66,-40.98,13.75,2,half_space_left,1,defensive_third,False,-45.96,9.93,2,half_space_left,1,defensive_third,False,True,True,True,False,False,0.0001,0.9165,0.6792,True,False,1,False,,,,False,9,8,-1,True,True,True
1_9,9,1960436,548,598,00:53.8,00:58.8,0,53,5.0,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,25534,A. Ouahim,16,LW,795547,Z. de Jesus,8,RB,869,Sydney FC,-13.65,13.99,2,half_space_left,2,middle_third,False,2.74,-6.99,3,center,2,middle_third,False,8_16,576,3,drawing,0,0,5,1,create,9,medium_block,False,False,27.06,-52.0,4,sideway_right,False,True,19.41,2,running,7.56,6.18,-1.38,1.47,12.41,15.12,9.67,-5.45,51.03,40.09,-10.94,True,True,3,ahead,3,ahead,27.71,12.68,-23.55,-11.89,4,half_space_right,1,defensive_third,False,-7.42,-14.57,4,half_space_right,2,middle_third,False,False,False,,False,False,0.007,0.6944,0.8213,True,True,0,False,,,,True,4,4,0,True,True,
