event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,high_pass,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_passing_options,passing_option_at_pass_moment,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched,fully_extrapolated
7_0,0,1996436,49,54,00:03.9,00:04.4,0,3,0.5,1,1,left_to_right,7,passing_option,51006,T. Uskok,6,RCB,970049,F. Deli,14,RM,1804,Macarthur FC,-14.59,-7.42,3,center,2,middle_third,False,-14.63,-7.48,3,center,2,middle_third,False,8_1,49,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.06,-123.69,4,sideway_right,False,False,0.48,1,jogging,10.21,8.21,-2.0,19.21,19.65,33.8,34.28,0.48,32.79,32.35,-0.44,False,False,,True,442.0,3,False,,,False,,,False,,,,,,,6.05,1,short,-140.23,2,backward,,,,,,,False,10,10,0,1,behind,1,behind,6.02,6.06,-10.01,-3.52,3,center,2,middle_third,False,-9.93,-3.65,3,center,2,middle_third,False,False,False,,False,False,0.0004,0.9764,0.6708,True,52,True,2,True,True,True,,False
7_1,1,1996436,49,55,00:03.9,00:04.5,0,3,0.6,1,1,left_to_right,7,passing_option,808580,K. Adamson,8,RB,970049,F. Deli,14,RM,1804,Macarthur FC,-7.66,-16.51,4,half_space_right,2,middle_third,False,-8.72,-16.78,4,half_space_right,2,middle_third,False,8_1,49,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,1.09,-165.71,2,backward,False,False,6.52,1,jogging,10.1,11.3,1.2,19.21,19.76,26.87,28.48,1.61,32.79,32.24,-0.55,False,False,,True,442.0,3,False,,,False,,,False,,,,,,,13.18,1,short,-80.57,4,sideway_right,,,,,,,False,10,10,0,2,same_line,2,same_line,13.2,13.14,-10.01,-3.52,3,center,2,middle_third,False,-9.91,-3.69,3,center,2,middle_third,False,False,False,,False,False,0.0004,0.9943,0.9596,True,50,True,2,True,True,True,,False
7_2,2,1996436,52,55,00:04.2,00:04.5,0,4,0.3,1,1,left_to_right,7,passing_option,10623,V. Germain,19,CF,970049,F. Deli,14,RM,1804,Macarthur FC,3.2,-0.64,3,center,2,middle_third,False,2.93,-0.68,3,center,2,middle_third,False,8_1,49,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.17,-175.76,2,backward,False,False,,,,2.94,0.54,-2.4,19.45,19.76,16.25,16.83,0.58,32.55,32.24,-0.31,True,True,False,True,442.0,3,True,1,through,False,,,False,,,1,first,1,through,13.19,1,short,13.19,1,forward,13.11,1,short,16.71,1,forward,True,10,7,3,3,ahead,3,ahead,13.49,13.19,-9.96,-3.59,3,center,2,middle_third,False,-9.91,-3.69,3,center,2,middle_third,False,True,True,False,False,False,0.0017,0.9114,0.8896,True,55,True,2,True,True,True,True,False
7_3,3,1996436,66,66,00:05.6,00:05.6,0,5,0.0,1,1,left_to_right,7,passing_option,51044,L. Brattan,12,LM,10623,V. Germain,19,CF,1804,Macarthur FC,-2.83,6.05,3,center,2,middle_third,False,-2.83,6.05,3,center,2,middle_third,False,8_2,66,1_0,9,support,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.0,-35.62,1,forward,False,False,16.51,2,running,2.44,3.14,0.71,20.34,20.34,23.17,23.17,0.0,31.66,31.66,0.0,True,True,False,True,442.0,3,False,,,False,,,False,,,,,,,7.77,1,short,116.6,3,sideway_left,7.64,1,short,108.55,3,sideway_left,False,7,7,0,1,behind,1,behind,7.77,7.77,0.65,-0.9,3,center,2,middle_third,False,0.65,-0.9,3,center,2,middle_third,False,True,True,True,False,False,0.0059,0.849,0.9254,True,66,True,1,True,True,True,True,False
7_4,4,1996436,66,66,00:05.6,00:05.6,0,5,0.0,1,1,left_to_right,7,passing_option,966116,J. Damevski,4,LCB,10623,V. Germain,19,CF,1804,Macarthur FC,-17.57,5.97,3,center,1,defensive_third,False,-17.57,5.97,3,center,1,defensive_third,False,8_2,66,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.0,16.7,1,forward,False,False,3.11,1,jogging,12.4,12.4,0.0,20.34,20.34,37.91,37.91,0.0,31.66,31.66,0.0,False,False,,True,442.0,3,False,,,False,,,False,,,,,,,19.47,2,medium,159.34,2,backward,,,,,,,False,7,10,-3,1,behind,1,behind,19.47,19.47,0.65,-0.9,3,center,2,middle_third,False,0.65,-0.9,3,center,2,middle_third,False,False,False,,False,False,0.0003,0.9881,0.6441,True,66,True,1,True,True,True,,False
7_5,5,1996436,73,73,00:06.3,00:06.3,0,6,0.0,1,1,left_to_right,7,passing_option,6871,M. JakoliÅ¡,16,LW,51044,L. Brattan,12,LM,1804,Macarthur FC,18.91,10.68,2,half_space_left,3,attacking_third,False,18.91,10.68,2,half_space_left,3,attacking_third,False,8_3,73,1_1,1,behind,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.0,-30.63,1,forward,False,False,21.37,3,hsr,5.14,6.17,1.03,20.14,20.14,1.23,1.23,0.0,31.86,31.86,0.0,True,True,True,False,,,,,,,,,,,,,,,,20.15,2,medium,19.48,1,forward,18.83,2,medium,41.88,1,forward,True,7,0,7,3,ahead,3,ahead,20.15,20.15,-0.09,3.96,3,center,2,middle_third,False,-0.09,3.96,3,center,2,middle_third,False,True,True,True,True,True,0.1008,0.3036,0.852,True,73,True,3,True,True,True,True,False
7_6,6,1996436,73,73,00:06.3,00:06.3,0,6,0.0,1,1,left_to_right,7,passing_option,10623,V. Germain,19,CF,51044,L. Brattan,12,LM,1804,Macarthur FC,-0.4,-1.19,3,center,2,middle_third,False,-0.4,-1.19,3,center,2,middle_third,False,8_3,73,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.0,-158.36,2,backward,False,False,4.97,1,jogging,2.38,2.38,0.0,20.14,20.14,20.54,20.54,0.0,31.86,31.86,0.0,True,True,,False,,,,,,,,,,,,,,,,5.16,1,short,-93.44,4,sideway_right,,,,,,,False,7,7,0,2,same_line,2,same_line,5.16,5.16,-0.09,3.96,3,center,2,middle_third,False,-0.09,3.96,3,center,2,middle_third,False,False,False,,False,True,0.0028,0.5587,0.9146,True,73,True,3,True,True,True,,False
7_7,7,1996436,73,73,00:06.3,00:06.3,0,6,0.0,1,1,left_to_right,7,passing_option,50980,C. Ikonomidis,17,RW,51044,L. Brattan,12,LM,1804,Macarthur FC,15.51,-22.67,5,wide_right,2,middle_third,False,15.51,-22.67,5,wide_right,2,middle_third,False,8_3,73,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.0,-5.9,1,forward,False,False,15.5,2,running,5.24,5.24,0.0,20.14,20.14,4.63,4.63,0.0,31.86,31.86,0.0,False,False,,False,,,,,,,,,,,,,,,,30.86,3,long,-59.64,4,sideway_right,,,,,,,True,7,4,3,3,ahead,3,ahead,30.86,30.86,-0.09,3.96,3,center,2,middle_third,False,-0.09,3.96,3,center,2,middle_third,False,False,False,,False,True,0.0112,0.5014,0.7353,True,73,True,3,True,True,True,,False
7_8,8,1996436,73,73,00:06.3,00:06.3,0,6,0.0,1,1,left_to_right,7,passing_option,51648,J. Hollman,15,AM,51044,L. Brattan,12,LM,1804,Macarthur FC,11.36,2.7,3,center,2,middle_third,False,11.36,2.7,3,center,2,middle_third,False,8_3,73,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.0,14.37,1,forward,False,False,15.08,2,running,5.14,5.14,0.0,20.14,20.14,8.78,8.78,0.0,31.86,31.86,0.0,True,True,,False,,,,,,,,,,,,,,,,11.52,1,short,-6.28,1,forward,,,,,,,True,7,5,2,3,ahead,3,ahead,11.52,11.52,-0.09,3.96,3,center,2,middle_third,False,-0.09,3.96,3,center,2,middle_third,False,False,False,,True,True,0.0254,0.3892,0.651,True,73,True,3,True,True,True,,False
7_9,9,1996436,98,107,00:08.8,00:09.7,0,8,0.9,1,1,left_to_right,7,passing_option,50980,C. Ikonomidis,17,RW,6871,M. JakoliÅ¡,16,LW,1804,Macarthur FC,27.87,-18.42,4,half_space_right,3,attacking_third,False,30.63,-16.34,4,half_space_right,3,attacking_third,False,8_4,98,1_2,9,support,3,drawing,0,0,1,2,finish,8,low_block,False,False,3.18,37.0,1,forward,False,False,13.98,1,jogging,6.19,7.77,1.58,30.53,35.08,2.66,4.45,1.79,21.47,16.92,-4.55,False,False,,True,442.0,3,False,,,False,,,False,,,,,,,16.32,2,medium,-108.17,4,sideway_right,,,,,,,False,0,3,-3,1,behind,1,behind,18.88,11.8,32.92,-0.23,3,center,3,attacking_third,False,35.29,-5.5,3,center,3,attacking_third,False,False,False,,True,False,0.0316,0.7142,0.8962,True,101,True,1,False,True,True,,False
