event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,second_last_line_break,last_line_break,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,2006575,20,20,00:01.0,00:01.0,0,1,0.0,1,1,left_to_right,8,player_possession,51651,L. Rose,19,CF,1805,Newcastle,0.47,-0.52,3,center,2,middle_third,False,0.47,-0.52,3,center,2,middle_third,False,3,drawing,0,0,0,1,True,False,True,True,1,False,1,create,9,medium_block,0,build_up,10,high_block,,,,,,,,,False,False,0.0,105.75,3,sideway_left,,,2.97,1,jogging,7.96,7.96,0.0,18.46,18.46,17.99,17.99,0.0,34.04,34.04,0.0,True,True,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,735578,M. Natta,4.0,LCB,-20.84,7.68,3,center,1,defensive_third,False,-22.61,7.07,3,center,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,26.79,2,medium,163.72,2,backward,,,,,8,8,0,True,True,,True,False
8_1,1,2006575,45,45,00:03.5,00:03.5,0,3,0.0,1,1,left_to_right,8,player_possession,735578,M. Natta,4,LCB,1805,Newcastle,-22.84,6.99,3,center,1,defensive_third,False,-22.84,6.99,3,center,1,defensive_third,False,3,drawing,0,0,1,1,False,False,False,True,2,False,0,build_up,10,high_block,1,create,9,medium_block,1,create,9,medium_block,,,,,False,False,0.0,-151.7,2,backward,,,3.32,1,jogging,12.52,12.52,0.0,15.89,15.89,38.73,38.73,0.0,36.61,36.61,0.0,False,False,1,pass_reception,1,pass,True,False,False,False,False,False,False,163.72,2,backward,26.79,2,medium,1,successful,7_1,False,735574,K. Grozos,6.0,RCB,-25.73,-2.21,3,center,1,defensive_third,False,-26.63,-2.44,3,center,1,defensive_third,False,0.9987,False,0.0,False,2,0,0,0,0,0,1,0,0,2,0,,,,,8,8,True,442.0,3,False,False,False,,,,,9.64,1,short,-107.44,4,sideway_right,10.91,1,short,-98.86,4,sideway_right,False,10,10,0,10,10,0,True,True,True,True,False
8_2,2,2006575,57,73,00:04.7,00:06.3,0,4,1.6,1,1,left_to_right,8,player_possession,735574,K. Grozos,6,RCB,1805,Newcastle,-26.63,-2.44,3,center,1,defensive_third,False,-25.9,-2.92,3,center,1,defensive_third,False,3,drawing,0,0,1,2,False,False,True,False,2,False,0,build_up,10,high_block,1,create,9,medium_block,1,create,9,medium_block,,,,,False,False,0.97,-33.33,1,forward,,,2.14,1,jogging,9.5,3.18,-6.32,13.65,9.98,40.28,35.88,-4.4,38.85,42.52,3.67,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,-98.86,4,sideway_right,10.91,1,short,1,successful,7_4,False,795507,L. Bayliss,9.0,LDM,-17.97,1.64,3,center,1,defensive_third,False,-18.79,1.83,3,center,1,defensive_third,False,0.9895,False,0.0002,False,4,0,0,0,0,0,3,0,0,4,0,3,3,2,3,9,9,True,4411.0,2,,False,False,,,,,9.15,1,short,29.9,1,forward,9.28,1,short,29.13,1,forward,True,10,9,1,10,10,0,True,True,True,True,False
8_3,3,2006575,80,92,00:07.0,00:08.2,0,7,1.2,1,1,left_to_right,8,player_possession,795507,L. Bayliss,9,LDM,1805,Newcastle,-18.79,1.83,3,center,1,defensive_third,False,-17.8,5.01,3,center,1,defensive_third,False,3,drawing,0,0,2,1,False,False,False,True,4,True,1,create,9,medium_block,10,high_block,0,build_up,0,build_up,10,high_block,,,,,False,False,3.37,72.71,3,sideway_left,False,False,10.01,1,jogging,5.93,3.07,-2.86,8.67,6.93,27.46,24.73,-2.73,43.83,45.57,1.74,True,True,1,pass_reception,1,pass,False,False,True,False,False,False,False,29.13,1,forward,9.28,1,short,1,successful,7_6,False,735578,M. Natta,4.0,LCB,-22.57,14.11,2,half_space_left,1,defensive_third,False,-19.17,16.95,2,half_space_left,1,defensive_third,False,0.9908,False,0.0006,False,3,0,1,0,1,0,2,0,0,3,0,2,3,1,2,6,6,True,4141.0,2,,False,False,,,,,10.27,1,short,117.66,3,sideway_left,9.46,1,short,143.86,2,backward,False,9,9,0,9,9,0,True,True,True,True,False
8_4,4,2006575,103,103,00:09.3,00:09.3,0,9,0.0,1,1,left_to_right,8,player_possession,735578,M. Natta,4,LCB,1805,Newcastle,-19.17,16.95,2,half_space_left,1,defensive_third,False,-19.17,16.95,2,half_space_left,1,defensive_third,False,3,drawing,0,0,2,2,False,False,False,False,4,True,1,create,9,medium_block,10,high_block,0,build_up,0,build_up,10,high_block,,,,,False,False,0.0,38.7,1,forward,,,14.77,1,jogging,6.72,6.72,0.0,6.29,6.29,25.46,25.46,0.0,46.21,46.21,0.0,False,False,1,pass_reception,1,pass,True,False,False,False,False,False,False,143.86,2,backward,9.46,1,short,1,successful,7_10,False,795506,C. Taylor,16.0,LW,-5.52,13.8,2,half_space_left,2,middle_third,False,-5.7,15.09,2,half_space_left,2,middle_third,False,0.9631,False,0.0024,False,2,0,2,0,2,0,2,0,0,2,0,,,,,7,7,True,4141.0,2,,True,False,2,second_last,1,through,14.01,1,short,-12.99,1,forward,12.44,1,short,-24.26,1,forward,True,9,5,4,9,9,0,True,True,True,True,False
8_5,5,2006575,113,113,00:10.3,00:10.3,0,10,0.0,1,1,left_to_right,8,player_possession,795506,C. Taylor,16,LW,1805,Newcastle,-5.58,15.2,2,half_space_left,2,middle_third,False,-5.58,15.2,2,half_space_left,2,middle_third,False,3,drawing,0,0,2,3,False,False,False,False,4,True,1,create,9,medium_block,10,high_block,0,build_up,0,build_up,10,high_block,,,,,False,False,0.0,64.89,3,sideway_left,,,5.4,1,jogging,4.63,4.63,0.0,8.04,8.04,13.62,13.62,0.0,44.46,44.46,0.0,True,True,1,pass_reception,1,pass,True,False,False,False,False,False,False,-24.26,1,forward,12.44,1,short,1,successful,7_12,False,795507,L. Bayliss,9.0,LDM,-10.87,10.31,2,half_space_left,2,middle_third,False,-8.19,10.8,2,half_space_left,2,middle_third,False,0.948,False,0.0049,False,2,1,0,0,0,0,1,0,0,2,0,,,,,4,4,True,442.0,3,False,False,False,,,,,7.2,1,short,-137.25,2,backward,8.51,1,short,-140.81,2,backward,False,5,8,-3,5,5,0,True,True,True,True,False
8_6,6,2006575,119,119,00:10.9,00:10.9,0,10,0.0,1,1,left_to_right,8,player_possession,795507,L. Bayliss,9,LDM,1805,Newcastle,-8.19,10.8,2,half_space_left,2,middle_third,False,-8.19,10.8,2,half_space_left,2,middle_third,False,3,drawing,0,0,2,4,False,True,True,False,4,True,1,create,9,medium_block,10,high_block,0,build_up,0,build_up,10,high_block,,,12,throw_in_against,False,False,0.0,10.42,1,forward,,,16.24,2,running,3.28,3.28,0.0,9.64,9.64,17.83,17.83,0.0,42.86,42.86,0.0,True,True,1,pass_reception,1,pass,True,False,False,False,False,False,False,-140.81,2,backward,8.51,1,short,2,unsuccessful,7_15,,560992,D. Wilmering,2.0,LB,0.43,32.84,1,wide_left,2,middle_third,False,,,,,,,,0.7064,False,0.0032,False,4,1,3,0,2,1,4,1,0,3,0,,,,,6,6,True,442.0,3,False,True,False,2,second_last,1,through,23.67,2,medium,68.64,3,sideway_left,,,,,,,True,8,4,4,8,8,0,True,True,True,,False
8_7,7,2006575,317,317,00:30.7,00:30.7,0,30,0.0,1,2,right_to_left,8,player_possession,50951,J. Brimmer,14,RM,4177,Auckland FC,-27.64,-29.57,5,wide_right,1,defensive_third,False,-27.64,-29.57,5,wide_right,1,defensive_third,False,3,drawing,0,0,3,1,True,False,False,True,3,False,0,build_up,10,high_block,5,chaotic,5,chaotic,9,medium_block,1,create,11,throw_in_for,,,False,False,0.0,-135.65,2,backward,,,13.37,1,jogging,1.22,1.22,0.0,-0.11,-0.11,27.53,27.53,0.0,52.61,52.61,0.0,False,False,7,throw_in_reception,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,7_17,False,4322,H. Sakai,8.0,RB,-32.55,-33.57,5,wide_right,1,defensive_third,False,-32.58,-32.91,5,wide_right,1,defensive_third,False,0.8878,False,0.0001,False,3,0,2,0,2,0,2,0,0,1,2,,,,,5,5,True,433.0,3,False,False,False,,,,,6.33,1,short,-140.83,2,backward,4.54,1,short,-146.13,2,backward,False,8,9,-1,8,8,0,True,True,,True,False
8_8,8,2006575,324,324,00:31.4,00:31.4,0,31,0.0,1,2,right_to_left,8,player_possession,4322,H. Sakai,8,RB,4177,Auckland FC,-32.58,-32.91,5,wide_right,1,defensive_third,False,-32.58,-32.91,5,wide_right,1,defensive_third,False,3,drawing,0,0,3,2,False,True,True,False,3,False,0,build_up,10,high_block,5,chaotic,5,chaotic,9,medium_block,1,create,,,11,throw_in_for,False,False,0.0,82.57,3,sideway_left,,,3.43,1,jogging,2.87,2.87,0.0,-0.69,-0.69,31.89,31.89,0.0,53.19,53.19,0.0,False,False,1,pass_reception,1,pass,True,False,False,False,False,False,False,-146.13,2,backward,4.54,1,short,2,unsuccessful,7_22,,133501,L. Rogerson,17.0,RW,-19.38,-33.34,5,wide_right,1,defensive_third,False,,,,,,,,0.6488,True,0.0003,False,4,0,3,1,2,0,4,0,0,0,4,,,,,7,7,True,424.0,3,True,False,False,1,first,2,around,13.21,1,short,-1.87,1,forward,,,,,,,True,9,4,5,9,9,0,True,True,True,True,False
8_9,9,2006575,548,560,00:53.8,00:55.0,0,53,1.2,1,1,left_to_right,8,player_possession,735578,M. Natta,4,LCB,1805,Newcastle,-10.91,28.87,1,wide_left,2,middle_third,False,-12.16,26.6,1,wide_left,2,middle_third,False,3,drawing,0,0,5,1,True,False,False,True,4,False,1,create,9,medium_block,6,direct,15,defending_direct,5,chaotic,5,chaotic,11,throw_in_for,,,False,False,2.61,-118.84,4,sideway_right,False,False,7.78,1,jogging,14.76,13.69,-1.08,25.18,21.76,36.09,33.92,-2.17,27.32,30.74,3.42,False,False,7,throw_in_reception,1,pass,False,False,True,False,False,False,False,,,,,,,1,successful,7_24,False,735574,K. Grozos,6.0,RCB,-19.17,14.03,2,half_space_left,1,defensive_third,False,-19.11,10.41,2,half_space_left,1,defensive_third,False,0.9991,False,0.0002,False,2,1,0,0,0,0,1,0,0,2,0,2,2,1,1,8,8,True,442.0,3,False,False,False,,,,,14.39,1,short,-119.15,4,sideway_right,12.18,1,short,-114.86,4,sideway_right,False,10,10,0,10,10,0,True,True,,True,False
