index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,team_in_possession_id,attacking_side,team_in_possession_shortname,n_player_possessions_in_phase,team_possession_loss_in_phase,team_possession_lead_to_goal,team_possession_lead_to_shot,team_in_possession_phase_type,team_in_possession_phase_type_id,team_out_of_possession_phase_type,team_out_of_possession_phase_type_id,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,team_in_possession_width_start,team_in_possession_width_end,team_in_possession_length_start,team_in_possession_length_end,team_out_of_possession_width_start,team_out_of_possession_width_end,team_out_of_possession_length_start,team_out_of_possession_length_end
0,2015180,2564,2596,00:00.4,00:03.6,0,0,3.2,1,1,868,left_to_right,Melbourne V FC,2,False,False,False,create,1,medium_block,9,-1.1,0.71,3,center,2,middle_third,False,-20.07,4.95,3,center,1,defensive_third,False,38.33,42.13,39.75,54.49,44.34,41.35,42.93,54.5
1,2015180,2596,2647,00:03.6,00:08.7,0,3,5.1,1,1,868,left_to_right,Melbourne V FC,2,True,False,False,direct,6,defending_direct,15,-19.47,4.73,3,center,1,defensive_third,False,20.72,-21.72,5,wide_right,3,attacking_third,False,42.16,41.88,54.92,62.5,41.14,32.65,54.75,47.55
2,2015180,2647,2663,00:08.7,00:10.3,0,8,1.6,1,2,1805,right_to_left,Newcastle,1,True,False,False,chaotic,5,chaotic,5,-20.38,22.07,1,wide_left,1,defensive_third,False,-11.21,20.6,1,wide_left,2,middle_third,False,32.64,31.59,47.23,41.21,42.07,42.98,62.74,63.96
3,2015180,2663,2715,00:10.3,00:15.5,0,10,5.2,1,1,868,left_to_right,Melbourne V FC,3,True,False,False,finish,2,low_block,8,11.22,-20.65,5,wide_right,2,middle_third,False,30.53,-27.12,5,wide_right,3,attacking_third,False,42.95,38.79,63.87,69.2,31.44,30.71,40.77,29.51
4,2015180,2715,2780,00:15.5,00:22.0,0,15,6.5,1,2,1805,right_to_left,Newcastle,2,False,False,False,build_up,0,high_block,10,-30.29,26.85,1,wide_left,1,defensive_third,False,-20.31,12.1,2,half_space_left,1,defensive_third,False,30.17,40.39,29.35,39.39,38.72,30.66,69.17,68.68
5,2015180,2780,2809,00:22.0,00:24.9,0,22,2.9,1,2,1805,right_to_left,Newcastle,0,False,False,False,create,1,medium_block,9,-19.37,12.25,2,half_space_left,1,defensive_third,False,-19.61,13.77,2,half_space_left,1,defensive_third,False,40.23,28.18,39.56,41.79,30.61,27.19,68.54,61.65
6,2015180,2809,2831,00:24.9,00:27.1,0,24,2.2,1,2,1805,right_to_left,Newcastle,1,False,False,False,build_up,0,high_block,10,-20.39,13.95,2,half_space_left,1,defensive_third,False,-20.23,16.42,2,half_space_left,1,defensive_third,False,27.76,29.87,42.11,42.53,27.29,29.11,61.49,62.8
7,2015180,2831,2843,00:27.1,00:28.3,0,27,1.2,1,2,1805,right_to_left,Newcastle,0,True,False,False,create,1,medium_block,9,-19.89,16.51,2,half_space_left,1,defensive_third,False,-16.37,15.58,2,half_space_left,2,middle_third,False,30.12,32.6,42.33,39.85,29.22,30.45,62.74,60.99
8,2015180,2843,2922,00:28.3,00:36.2,0,28,7.9,1,1,868,left_to_right,Melbourne V FC,3,True,False,False,chaotic,5,chaotic,5,16.33,-15.48,4,half_space_right,2,middle_third,False,48.08,-9.0,3,center,3,attacking_third,True,30.54,32.56,60.82,61.94,32.8,37.68,39.61,32.45
9,2015180,2922,3147,00:36.2,00:58.7,0,36,22.5,1,2,1805,right_to_left,Newcastle,4,False,False,False,build_up,0,high_block,10,-48.23,9.05,3,center,1,defensive_third,False,-47.44,-3.34,3,center,1,defensive_third,False,37.77,65.55,32.58,53.55,32.65,42.49,62.08,71.36
